nquest,stock_participation,mutual_fund_or_etf,direct_listed_stock,income,log_income,education,age,age_centered,age_centered_squared,region,household_size,female_head,weight
1030717,0,0,0,35400.0,10.474467,Upper secondary,71,16,0,South and Islands,2,0,0.26044098
1030721,0,0,0,62802.207,11.047746,Lower secondary,69,14,-60,South and Islands,3,0,0.34603056
1030728,0,0,0,26519.408,10.185632,Upper secondary,72,17,33,South and Islands,2,0,0.23284912
1030735,0,0,0,52213.594,10.863098,University,65,10,100,South and Islands,2,1,0.04258018
1030741,0,0,0,45928.223,10.734835,Upper secondary,60,5,25,South and Islands,3,0,0.71248996
1030756,0,0,0,69279.13,11.145899,Upper secondary,63,8,64,South and Islands,3,0,0.05595876
1030761,0,0,0,4986.1416,8.514418,Primary or less,53,-2,4,South and Islands,2,1,0.35473648
1030762,0,0,0,44108.0,10.694396,Lower secondary,60,5,25,South and Islands,4,0,0.13300127
1030778,0,0,0,75048.31,11.225887,University,65,10,100,South and Islands,2,0,0.032393415
1030780,0,0,0,51700.35,10.85322,Upper secondary,70,15,-31,South and Islands,2,0,0.0431031
1030787,0,0,0,27204.443,10.211136,Lower secondary,59,4,16,South and Islands,4,0,0.41559726
1030794,0,0,0,41100.543,10.623776,Upper secondary,64,9,81,South and Islands,2,0,0.047838308
1030807,0,0,0,52677.36,10.871941,Lower secondary,65,10,100,South and Islands,3,1,0.06989464
1030818,0,0,0,132621.95,11.795258,University,68,13,-87,South and Islands,2,0,0.029952608
1030822,0,0,0,36200.0,10.496815,Lower secondary,53,-2,4,South and Islands,5,0,0.5148763
1030826,0,0,0,41092.902,10.62359,Lower secondary,56,1,1,South and Islands,5,0,0.06985817
1030830,0,0,0,24500.0,10.106428,Lower secondary,64,9,81,South and Islands,3,0,0.08270157
1030835,0,0,0,28835.44,10.269361,Lower secondary,61,6,36,South and Islands,3,0,0.07077687
1030871,0,0,0,10920.0,9.298351,Upper secondary,32,-23,17,South and Islands,3,1,0.6227987
1030874,0,0,0,53003.473,10.878113,Lower secondary,58,3,9,South and Islands,3,0,0.070764326
1030892,1,1,0,127339.99,11.754616,University,69,14,-60,South and Islands,1,0,0.040748257
1030896,0,0,0,46439.59,10.745908,Upper secondary,60,5,25,South and Islands,4,0,0.3983173
1030902,0,0,0,63602.42,11.060407,University,83,28,16,South and Islands,2,0,0.056736164
1030927,0,0,0,30000.0,10.308952,Lower secondary,52,-3,9,South and Islands,4,0,0.07029987
1030932,0,0,0,14000.0,9.546813,Lower secondary,60,5,25,South and Islands,3,0,0.2859051
1030940,0,0,0,6500.627,8.779654,Lower secondary,65,10,100,South and Islands,3,0,0.3450787
1030942,0,0,0,102831.98,11.540852,Lower secondary,50,-5,25,South and Islands,5,0,0.63278717
1030970,0,0,0,92230.29,11.432044,University,55,0,0,South and Islands,1,0,0.031145377
1030972,0,0,0,6500.0,8.779557,Lower secondary,60,5,25,South and Islands,5,0,0.068975955
1030975,1,1,1,220411.98,12.303254,University,73,18,68,South and Islands,5,1,0.07578534
1030990,0,0,0,51222.434,10.843933,Upper secondary,47,-8,64,South and Islands,5,0,0.08468889
1031001,0,0,0,28915.0,10.272116,Lower secondary,39,-16,0,South and Islands,4,0,0.61150223
1031005,1,1,0,101475.83,11.527576,University,60,5,25,South and Islands,5,0,0.057399046
1031006,0,0,0,27179.408,10.210215,Upper secondary,50,-5,25,South and Islands,4,0,0.6444593
1031014,0,0,0,24800.0,10.118599,Lower secondary,42,-13,-87,South and Islands,6,0,0.64956605
1031016,0,0,0,52587.445,10.870233,Upper secondary,43,-12,-112,South and Islands,3,1,0.75811166
1031022,0,0,0,25000.0,10.126631,Lower secondary,49,-6,36,South and Islands,3,1,0.095781386
1031024,1,1,0,65597.33,11.09129,University,43,-12,-112,South and Islands,4,1,0.11749239
1031078,0,0,0,54325.0,10.90274,University,64,9,81,South and Islands,1,0,0.2862814
1031098,0,0,0,107307.93,11.583458,Upper secondary,43,-12,-112,South and Islands,1,0,0.07631295
1031111,0,0,0,9000.0,9.1049795,Lower secondary,61,6,36,South and Islands,1,1,0.23328695
1031122,0,0,0,53259.406,10.88293,Upper secondary,37,-18,68,South and Islands,4,1,0.06868121
